Site_Name,Measured_height,DEM_Height,DEM_Height_refraction,GCP_Name,Measured_depth,distance
TinyGiantClam,47,27.4,43,blue_GCP,-0.8,5.245162751
TinyGiantClam,72,44.1,65,blue_GCP,-0.8,8.019732323
TinyGiantClam,56,15.8,22,blue_GCP,-0.8,2.080548575
TinyGiantClam,25,15.3,20,blue_GCP,-0.8,2.323690539
SuperCoral,92,60,80,blue_GCP,-2.07,2.796311871
SuperCoral,112,71.7,95,blue_GCP,-2.07,1.567519179
SuperCoral,34,27.4,34,blue_GCP,-2.07,2.884319743
SuperCoral,85,63,85,blue_GCP,-2.07,2.641210481
SuperCoral,65,54,65,blue_GCP,-2.07,0.895093078
SuperCoral,44,21.7,30,orange_GCP,-0.85,4.834092212
SuperCoral,22,15.3,20,green_GCP,-0.94,5.833256723
SuperCoral,25,14,20,green_GCP,-0.94,5.013263609
SuperCoral,38,25.3,33,pink_GCP,-0.82,4.818429059
SuperCoral,42,21.8,31,pink_GCP,-0.82,2.523916285
SuperSeagrass,47,28.9,39,yellow_GCP,-0.73,0.821226777
SuperSeagrass,64,38,55,yellow_GCP,-0.73,1.617437032
SuperSeagrass,60,46.9,61,yellow_GCP,-0.73,5.058139233
SuperSeagrass,34,21.2,28,orange_GCP,-0.73,2.305498651
SuperSeagrass,46,29.3,38,orange_GCP,-0.73,2.451092431
SuperSeagrass,33,30,34,orange_GCP,-0.73,3.440245604
SuperSeagrass,21,18.6,20,orange_GCP,-0.73,0.497033038
WreckReef,55,38.7,54,blue_GCP,-0.85,2.46514317
WreckReef,40,32,41,blue_GCP,-0.85,2.273410868
WreckReef,46,23.2,32,orange_GCP,-0.88,2.103303477
WreckReef,46,36.1,43,yellow_GCP,-1.07,4.258861241
WreckReef,31,16.7,26,pink_GCP,-0.85,4.671288689
WreckReef,39,25.6,35,pink_GCP,-0.85,1.498152113
WreckReef,31,33.5,35,yellow_GCP,-1.07,4.209513993
Slope_I,50,34.9,48,pink_GCP,-0.98,3.356472936
Slope_I,35,26,35,pink_GCP,-0.98,4.090297209
Slope_I,50,37.3,50,pink_GCP,-0.98,4.38229746
Slope_I,50,38,49,pink_GCP,-0.98,3.869364177
Ngerikuul_I,45,21.6,35,orange_GCP,-1.25,2.967426905
Ngerikuul_I,39,28,39,orange_GCP,-1.25,1.283316852
Ngerikuul_I,35,22.9,33,green_GCP,-1.46,1.946831508
Ngerikuul_II,40,28.1,37,yellow_GCP,-0.58,2.129646676
Ngerikuul_II,123,77.1,103,green_GCP,-1.4,2.030743074
Ngerikuul_II,100,67.1,92,green_GCP,-1.4,3.091827246
Ngerikuul_II,125,67.6,100,orange_GCP,-1.16,2.586804647
Slope_III,43,21.8,29,blue_GCP,-1.43,1.879402037
Slope_III,32,13.7,19,blue_GCP,-1.43,0.804336668
Slope_III,47,26.5,39,blue_GCP,-1.43,1.407825655
Slope_III,49,29,41,pink_GCP,-1.19,0.793539199
Slope_III,44,28.1,38,pink_GCP,-1.19,1.018309615
Slope_III,48,23.6,39,pink_GCP,-1.19,3.545863375
Slope_III,15,7.7,13,pink_GCP,-1.19,3.356038649
Slope_II,80,43,57,yellow_GCP,-1.46,1.108001458
Slope_II,38,26,34,blue_GCP,-1.31,1.746280306
Slope_II,47,22.9,33,orange_GCP,-1.71,0.985701534
Slope_II,46,28,38,orange_GCP,-1.71,0.79051145
Slope_II,25,16,25,orange_GCP,-1.71,1.50952163
