LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","1",0.0000000000,0.0000000000,444405.8043400000,809456.2956400000,-1.0062625408
"0","2",0.0082356990,0.0103668387,444405.7979700000,809456.2904200000,-0.9999661446
"0","3",0.0164713980,0.0193392758,444405.7916000000,809456.2852000000,-0.9964055419
"0","4",0.0247070970,0.0282863625,444405.7852300000,809456.2799700000,-0.9929093123
"0","5",0.0329427959,0.0381758947,444405.7788600000,809456.2747500000,-0.9874342680
"0","6",0.0411784949,0.0493083645,444405.7724900000,809456.2695300000,-0.9799439311
"0","7",0.0494141939,0.0596924232,444405.7661200000,809456.2643100000,-0.9736192226
"0","8",0.0576498929,0.0694743682,444405.7597500001,809456.2590899999,-0.9683409929
"0","9",0.0658855919,0.0809059510,444405.7533800000,809456.2538700000,-0.9604129195
"0","10",0.0741212909,0.0898785538,444405.7470100000,809456.2486500000,-0.9568518996
"0","11",0.0823569899,0.0989427104,444405.7406400000,809456.2434300000,-0.9530661106
"0","12",0.0905926889,0.1104438829,444405.7342700000,809456.2382100000,-0.9450380206
"0","13",0.0988283878,0.1200655143,444405.7279100000,809456.2329800000,-0.9400631785
"0","14",0.1070640868,0.1306299646,444405.7215400000,809456.2277600000,-0.9334464669
"0","15",0.1152997858,0.1393391149,444405.7151700000,809456.2225400000,-0.9306140542
"0","16",0.1235354848,0.1487112762,444405.7088000000,809456.2173200002,-0.9261407256
"0","17",0.1317711838,0.1569575855,444405.7024300000,809456.2121000000,-0.9257225394
"0","18",0.1400068828,0.1652722441,444405.6960600000,809456.2068800000,-0.9245793819
"0","19",0.1482425818,0.1735080493,444405.6896900001,809456.2016600000,-0.9245375395
"0","20",0.1564782808,0.1820054291,444405.6833200000,809456.1964400000,-0.9266300798
"0","21",0.1647139797,0.1905867364,444405.6769500000,809456.1912200000,-0.9242192507
"0","22",0.1729496787,0.1989958287,444405.6705800000,809456.1859900000,-0.9259181023
"0","23",0.1811853777,0.2077801323,444405.6642100000,809456.1807700000,-0.9289737940
"0","24",0.1894210767,0.2172865712,444405.6578400000,809456.1755500000,-0.9337220192
"0","25",0.1976567757,0.2261770035,444405.6514800000,809456.1703300000,-0.9370706081
"0","26",0.2058924747,0.2344445393,444405.6451100000,809456.1651099999,-0.9363457561
"0","27",0.2141281737,0.2433178090,444405.6387400000,809456.1598900000,-0.9330430031
"0","28",0.2223638727,0.2515550860,444405.6323700000,809456.1546700000,-0.9332042337
"0","29",0.2305995716,0.2598010982,444405.6260000000,809456.1494500000,-0.9327919483
"0","30",0.2388352706,0.2683962135,444405.6196300000,809456.1442300000,-0.9303324223
"0","31",0.2470709696,0.2770319334,444405.6132600000,809456.1390000000,-0.9277345538
"0","32",0.2553066686,0.2855084579,444405.6068900000,809456.1337800000,-0.9257283807
"0","33",0.2635423676,0.2937539581,444405.6005200000,809456.1285600000,-0.9261302948
"0","34",0.2717780666,0.3023489028,444405.5941500000,809456.1233400000,-0.9285892248
"0","35",0.2800137656,0.3114270011,444405.5877800000,809456.1181200000,-0.9324082732
"0","36",0.2882494645,0.3208831781,444405.5814100000,809456.1128999999,-0.9370550513
"0","37",0.2964851635,0.3294628295,444405.5750400001,809456.1076800000,-0.9394599795
"0","38",0.3047208625,0.3378506450,444405.5686800001,809456.1024600000,-0.9410501719
"0","39",0.3129565615,0.3471925337,444405.5623100000,809456.0972400000,-0.9454597235
"0","40",0.3211922605,0.3593793340,444405.5559400000,809456.0920100000,-0.9544425607
"0","41",0.3294279595,0.3750994534,444405.5495700000,809456.0867900000,-0.9678326845
"0","42",0.3376636585,0.3911922707,444405.5432000000,809456.0815700000,-0.9816584587
