LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","1",0.0000000000,0.0000000000,443360.8817800000,809207.9467400000,-1.1264045238
"0","2",0.0079066747,0.0081664765,443360.8881400000,809207.9420600000,-1.1284480095
"0","3",0.0158133494,0.0171033186,443360.8945100000,809207.9373700002,-1.1326135397
"0","4",0.0237200241,0.0250467630,443360.9008800000,809207.9326900000,-1.1333769560
"0","5",0.0316266988,0.0335312520,443360.9072500000,809207.9280000000,-1.1302994490
"0","6",0.0395333735,0.0446728435,443360.9136200000,809207.9233199999,-1.1224496365
"0","7",0.0474400482,0.0543182128,443360.9199900000,809207.9186400000,-1.1169253588
"0","8",0.0553467229,0.0635820729,443360.9263600000,809207.9139500000,-1.1217527390
"0","9",0.0632533976,0.0715603123,443360.9327300000,809207.9092699999,-1.1206865311
"0","10",0.0711600723,0.0794674845,443360.9391000000,809207.9045800000,-1.1207752228
"0","11",0.0790667469,0.0892887038,443360.9454700000,809207.8999000000,-1.1266011000
"0","12",0.0869734216,0.0989832800,443360.9518400000,809207.8952100000,-1.1322108507
"0","13",0.0948800963,0.1070500117,443360.9582100000,809207.8905300000,-1.1338098049
"0","14",0.1027867710,0.1150835280,443360.9645800001,809207.8858400000,-1.1323878765
"0","15",0.1106934457,0.1234364864,443360.9709400001,809207.8811600000,-1.1350816488
"0","16",0.1186001204,0.1316424109,443360.9773100000,809207.8764700000,-1.1328858137
"0","17",0.1265067951,0.1398013340,443360.9836800000,809207.8717900000,-1.1308727264
"0","18",0.1344134698,0.1477128733,443360.9900500000,809207.8671000000,-1.1311501265
"0","19",0.1423201445,0.1556651402,443360.9964200000,809207.8624200000,-1.1302998066
"0","20",0.1502268192,0.1635719921,443361.0027900000,809207.8577300000,-1.1302468777
"0","21",0.1581334939,0.1719597670,443361.0091600000,809207.8530500000,-1.1274470091
"0","22",0.1660401686,0.1804021233,443361.0155300000,809207.8483599999,-1.1244876385
"0","23",0.1739468433,0.1892089341,443361.0219000000,809207.8436800000,-1.1206089258
"0","24",0.1818535180,0.1971226110,443361.0282700000,809207.8389900000,-1.1202760935
"0","25",0.1897601927,0.2051843015,443361.0346400001,809207.8343099999,-1.1218494177
"0","26",0.1976668674,0.2131653069,443361.0410100000,809207.8296200000,-1.1229361296
"0","27",0.2055735421,0.2211831842,443361.0473800000,809207.8249400000,-1.1216053963
"0","28",0.2134802168,0.2291318166,443361.0537400000,809207.8202500000,-1.1207897663
"0","29",0.2213868915,0.2370410152,443361.0601100000,809207.8155700000,-1.1205899715
"0","30",0.2292935662,0.2450993271,443361.0664800000,809207.8108800000,-1.1190340519
